,match_no,team_1,team_1_sh,team_2,team_2_sh,date,day,umpire_1,umpire_2,player_of_match,winner,city,venue
Match 40 (SRH vs RR),40,Rajasthan Royals,RR,Sunrisers Hyderabad,SRH,27 September 2021,Monday,KN Ananthapadmanabhan,Navdeep Singh,JJ Roy,Sunrisers Hyderabad,Dubai,Dubai International Cricket Stadium
Match 41 (KKR vs DC),41,Delhi Capitals,DC,Kolkata Knight Riders,KKR,28 September 2021,Tuesday,Nitin Menon,HAS Khalid,SP Narine,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium
Match 42 (MI vs PBKS),42,Punjab Kings,PBKS,Mumbai Indians,MI,28 September 2021,Tuesday,S Ravi,VK Sharma,KA Pollard,Mumbai Indians,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi"
Match 43 (RR vs RCB),43,Rajasthan Royals,RR,Royal Challengers Bangalore,RCB,29 September 2021,Wednesday,AY Dandekar,KN Ananthapadmanabhan,YS Chahal,Royal Challengers Bangalore,Dubai,Dubai International Cricket Stadium
Match 44 (SRH vs CSK),44,Sunrisers Hyderabad,SRH,Chennai Super Kings,CSK,30 September 2021,Thursday,Nitin Menon,YC Barde,JR Hazlewood,Chennai Super Kings,Sharjah,Sharjah Cricket Stadium
Match 45 (KKR vs PBKS),45,Kolkata Knight Riders,KKR,Punjab Kings,PBKS,01 October 2021,Friday,KN Ananthapadmanabhan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium
Match 46 (MI vs DC),46,Mumbai Indians,MI,Delhi Capitals,DC,02 October 2021,Saturday,AK Chaudhary,MA Gough,AR Patel,Delhi Capitals,Sharjah,Sharjah Cricket Stadium
Match 47 (RR vs CSK),47,Chennai Super Kings,CSK,Rajasthan Royals,RR,02 October 2021,Saturday,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi"
Match 48 (RCB vs PBKS),48,Royal Challengers Bangalore,RCB,Punjab Kings,PBKS,03 October 2021,Sunday,KN Ananthapadmanabhan,RK Illingworth,GJ Maxwell,Royal Challengers Bangalore,Sharjah,Sharjah Cricket Stadium
Match 49 (KKR vs SRH),49,Sunrisers Hyderabad,SRH,Kolkata Knight Riders,KKR,03 October 2021,Sunday,J Madanagopal,MA Gough,Shubman Gill,Kolkata Knight Riders,Dubai,Dubai International Cricket Stadium
Match 50 (DC vs CSK),50,Chennai Super Kings,CSK,Delhi Capitals,DC,04 October 2021,Monday,AK Chaudhary,Nitin Menon,AR Patel,Delhi Capitals,Dubai,Dubai International Cricket Stadium
Match 51 (RR vs MI),51,Rajasthan Royals,RR,Mumbai Indians,MI,05 October 2021,Tuesday,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium
Match 52 (RCB vs SRH),52,Sunrisers Hyderabad,SRH,Royal Challengers Bangalore,RCB,06 October 2021,Wednesday,S Ravi,UV Gandhe,KS Williamson,Sunrisers Hyderabad,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi"
Match 53 (CSK vs PBKS),53,Chennai Super Kings,CSK,Punjab Kings,PBKS,07 October 2021,Thursday,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium
Match 54 (KKR vs RR),54,Kolkata Knight Riders,KKR,Rajasthan Royals,RR,07 October 2021,Thursday,MA Gough,HAS Khalid,Shivam Mavi,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium
Match 55 (SRH vs MI),55,Mumbai Indians,MI,Sunrisers Hyderabad,SRH,08 October 2021,Friday,Tapan Sharma,VK Sharma,Ishan Kishan,Mumbai Indians,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi"
Match 56 (RCB vs DC),56,Delhi Capitals,DC,Royal Challengers Bangalore,RCB,08 October 2021,Friday,KN Ananthapadmanabhan,Nitin Menon,KS Bharat,Royal Challengers Bangalore,Dubai,Dubai International Cricket Stadium
Match 57 (DC vs CSK),57,Delhi Capitals,DC,Chennai Super Kings,CSK,10 October 2021,Sunday,Nitin Menon,RK Illingworth,RD Gaikwad,Chennai Super Kings,Dubai,Dubai International Cricket Stadium
Match 58 (RCB vs KKR),58,Royal Challengers Bangalore,RCB,Kolkata Knight Riders,KKR,11 October 2021,Monday,CB Gaffaney,VK Sharma,SP Narine,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium
Match 59 (DC vs KKR),59,Delhi Capitals,DC,Kolkata Knight Riders,KKR,13 October 2021,Wednesday,KN Ananthapadmanabhan,MA Gough,VR Iyer,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium
Match 60 (CSK vs KKR),60,Chennai Super Kings,CSK,Kolkata Knight Riders,KKR,15 October 2021,Friday,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium
