inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Chennai Super Kings,Rajasthan Royals,9.2,RD Gaikwad,MM Ali,Akash Singh,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,9.3,MM Ali,RD Gaikwad,Akash Singh,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,9.4,RD Gaikwad,MM Ali,Akash Singh,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,9.5,RD Gaikwad,MM Ali,Akash Singh,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,9.6,MM Ali,RD Gaikwad,Akash Singh,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,10.1,MM Ali,RD Gaikwad,M Markande,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,10.2,MM Ali,RD Gaikwad,M Markande,0,4,4,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,10.3,MM Ali,RD Gaikwad,M Markande,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,10.4,RD Gaikwad,MM Ali,M Markande,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,10.5,MM Ali,RD Gaikwad,M Markande,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,10.6,RD Gaikwad,MM Ali,M Markande,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,11.1,RD Gaikwad,MM Ali,R Tewatia,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,11.2,MM Ali,RD Gaikwad,R Tewatia,0,2,2,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,11.3,MM Ali,RD Gaikwad,R Tewatia,1,0,1,wides,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,11.4,MM Ali,RD Gaikwad,R Tewatia,0,4,4,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,11.5,MM Ali,RD Gaikwad,R Tewatia,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,11.6,RD Gaikwad,MM Ali,R Tewatia,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,11.7,MM Ali,RD Gaikwad,R Tewatia,0,2,2,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,12.1,RD Gaikwad,MM Ali,M Markande,0,4,4,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,12.2,RD Gaikwad,MM Ali,M Markande,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,12.3,MM Ali,RD Gaikwad,M Markande,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,12.4,RD Gaikwad,MM Ali,M Markande,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,12.5,RD Gaikwad,MM Ali,M Markande,0,2,2,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,12.6,RD Gaikwad,MM Ali,M Markande,0,6,6,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,13.1,MM Ali,RD Gaikwad,GD Phillips,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,13.2,RD Gaikwad,MM Ali,GD Phillips,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,13.3,MM Ali,RD Gaikwad,GD Phillips,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,13.4,MM Ali,RD Gaikwad,GD Phillips,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,13.5,RD Gaikwad,MM Ali,GD Phillips,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,13.6,RD Gaikwad,MM Ali,GD Phillips,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,14.1,MM Ali,RD Gaikwad,R Tewatia,0,6,6,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,14.2,MM Ali,RD Gaikwad,R Tewatia,0,6,6,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,14.3,MM Ali,RD Gaikwad,R Tewatia,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,14.4,RD Gaikwad,MM Ali,R Tewatia,1,0,1,wides,MM Ali,stumped,SV Samson,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,14.5,RD Gaikwad,AT Rayudu,R Tewatia,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
